primary_key,industry_id,name,experience,work_environment,apprenticeship,education,age,gender,travel,start_avg_wage_per_week,end_avg_wage_per_week,low_hours_of_work,job_score,high_hours_of_work,days_of_week,job_openings,job_description
19,2,Saloon keepers,professional,unweathered,false,uneducated,adult,both,home,$4.00,$8.00,10,16,12,Mon-Sat,4,a person who owns or operates a saloon.
20,2,Night Watchmen,semiskilled,weathered,false,uneducated,adult,male,home,$4.00,$8.00,10,63,12,Mon-Sat,6,"Night watchmen were on patrol, usually in pairs, from around 9pm until sunrise and their job was to challenge anyone who seemed suspicious, unauthorised street traders and “any person casting night soil in the street”"
21,1,Dairy Farmers,semiskilled,weathered,false,uneducated,adult,both,home,$7.50,$15.00,10,64,12,Mon-Sat,10,farmers use nimals for  production of dairy. Mostly use dairy cows for the production of dairy milk.
22,1,Farmers,skilled,weathered,false,uneducated,adult,male,home,$7.50,$15.00,10,66,12,Mon-Sat,3,"workers who labor on a farm. Work includes a combination of raising field crops, orchhards, vineyards, poultry, or livestock. "
23,1,Stock Raisers,skilled,weathered,false,uneducated,adult,male,home,$7.50,$15.00,10,67,12,Mon-Sat,5,"raise and/or breed livestock such as beef cattle, dairy cows, goats, sheep, chickens, etc. "
24,1,Laborers,laborer,weathered,false,uneducated,adult,both,often,$7.50,$15.00,10,67,12,Mon-Sat,15,Florists sell and arrange flowers that they grow themselves or obtain from wholesalers. 
25,1,Gardeners,semiskilled,weathered,false,uneducated,adult,both,home,$7.50,$15.00,10,66,12,Mon-Sat,8,"provide work involving tending a garden. Responsibilities include but are not limited to watering plants and foods, pulling weeds and keeping garden clean."
26,1,Florists,skilled,weathered,false,uneducated,adult,both,home,$7.50,$15.00,10,64,12,Mon-Sat,2,"sell and/or arrange plants and flowers. Ability to tend gardern and produce the plants and flowers for arrangements. In addition, ability to cut and arrange flowers artisitically. "
27,1,Fruit Growers,semiskilled,weathered,false,uneducated,adult,both,home,$7.50,$15.00,10,66,12,Mon-Sat,7,grow fruit to sell for money.
28,1,Raftsmen,skilled,weathered,false,uneducated,adult,male,home,$7.50,$15.00,10,84,12,Mon-Sat,1,men ride logs down river as a means of getting them to the mills.
29,1,Lumbermen,skilled,weathered,false,uneducated,adult,male,home,$7.50,$15.00,10,80,12,Mon-Sat,4,cut trees into logs. Transport logs to sawmill and cut logs. 
30,1,MilkMan,semiskilled,weathered,false,uneducated,family,male,home,$7.50,$15.00,10,61,12,Mon-Sat,3,deliver milk to your door.
31,1,DairyWomen,semiskilled,weathered,false,uneducated,family,female,home,$7.50,$15.00,10,60,12,Mon-Sat,4,deliver milk to your door.
32,1,Woodchoppers,semiskilled,weathered,false,uneducated,adult,male,home,$5.00,$15.00,10,66,12,Mon-Sat,6,a person who competes to see who can cut through a tree the fastest.
33,2,Barbers,skilled,unweathered,true,uneducated,adult,male,home,$5.00,$8.00,10,37,12,Mon-Sat,3,someone who cuts hair and shaves/trims beards as a job
34,2,Manicurists,skilled,unweathered,true,uneducated,adult,female,home,$5.00,$8.00,10,37,12,Mon-Sat,5,someone who performs manicures 
35,2,Butlers,skilled,unweathered,true,uneducated,adult,male,home,$5.00,$8.00,10,35,12,Mon-Sat,2,main male servant in the home of a wealthy person. Usually responsiblie for serving food and in charge of the kitchen.Some butlers tend gardens and drive weathly people where they want to go.
36,2,Ladies maids,skilled,unweathered,true,uneducated,adult,female,home,$5.00,$8.00,10,34,12,Mon-Sat,0,female personal attendent who waits on the lady of the house. A lady's maid has a very similiar position of a butler.
37,2,Coachmen,skilled,mixed,false,uneducated,adult,male,home,$5.00,$8.00,10,37,12,Mon-Sat,4,driver of a horse-drawn carriage. Usually a coachmen serves a wealthy family.
38,2,Bellhop,semiskilled,unweathered,false,uneducated,adult,male,home,$5.00,$8.00,10,36,12,Mon-Sat,10,"a man or a boy employed in a hotel, club. to carry luggage and answer calls for service. "
39,2,Marshals,skilled,unweathered,false,uneducated,adult,male,home,$5.00,$8.00,10,32,12,Mon-Sat,3,an officer of the highest rank in the armed forces of some countries.
40,2,Detectives,skilled,unweathered,false,uneducated,adult,male,home,$5.00,$8.00,10,32,12,Mon-Sat,5,a police officer whose occupation is to investigate and solve crimes.
41,2,Sailors,skilled,weathered,false,uneducated,adult,male,home,$5.00,$8.00,10,87,12,Mon-Sat,2,"work as a member of the crew of a commerical or naval ship or boat, especially one who is below the rank of offiicer."
42,2,Lighthouse Keepers,semiskilled,weathered,false,uneducated,adult,both,home,$5.00,$8.00,10,37,12,Mon-Sat,8,takes care of a lighthouse and keeps it clean. Watches for boats coming in at night to help guide them to the shore with the light.
43,2,Watchmen ,semiskilled,weathered,false,uneducated,adult,male,home,$5.00,$8.00,10,37,12,Everyday,7,employed to look aftter an empty buildiing especiially at night. 
44,2,Knocker-Upper,laborer,weathered,false,uneducated,adult,both,home,$5.00,$8.00,10,32,12,Mon-Sat,21,Served the sole purpose of getting people out of bed in the morniing
45,2,Elevator Operator,semiskilled,unweathered,false,uneducated,adult,male,home,$5.00,$8.00,10,32,12,Everyday,3,"manually operate elevators, letting passengers on and off at their desired floors."
46,2,DoorKeepers,semiskilled,mixed,false,uneducated,adult,male,home,$5.00,$8.00,10,35,12,Everyday,4,employed to guard an entrance or gateway and is responsible for deciding who gets through an entrance. 
47,4,Blacksmiths,kindred,unweathered,true,uneducated,adult,male,home,$13.50,$17.00,10,69,12,Mon-Sat,0,"person who makes and repairs things in iron by hand. Blacksmiths make iron and steel tools, but the most well known object that they create is horseshoes."
48,4,Carpenters,kindred,mixed,true,uneducated,adult,male,home,$13.00,$17.00,10,74,12,Mon-Sat,4,"person who makes and repairs wooden objects and structures. Some things carpenters make include: cabinents, houses, doors, window structures, and even floors. "
49,4,Electricians,kindred,unweathered,true,uneducated,adult,male,home,$15.00,$17.00,10,77,12,Mon-Sat,2,someone who installs and maintains electrical equipment.
50,4,Machinists,kindred,unweathered,true,uneducated,adult,male,home,$13.50,$17.00,10,80,12,Mon-Sat,4,someone who operates a machine especiallt machine tools.
51,4,Plumber,kindred,unweathered,true,uneducated,adult,both,home,$15.00,$17.00,10,69,12,Everyday,5,"someone who installs and repairs the pipes and fittings of water supply, sanitation, or heating systems. "
52,4,Architect,kindred,unweathered,true,uneducated,adult,both,home,$14.00,$17.00,10,15,12,Mon-Sat,1,someone who designs buildings and in many cases also builds the building themselves with the help of others. 
53,3,Bookkeepers,skilled,unweathered,false,uneducated,adult,both,home,$9.00,$13.50,10,41,12,Mon-Sat,1,keep the financial records for a business up to date.
54,3,Cashiers,semiskilled,unweathered,false,uneducated,adult,both,home,$9.00,$13.50,10,61,12,Mon-Sat,10,"handles payments and receipts in a store, bank, or other business."
55,3,Stenographers,skilled,unweathered,false,uneducated,adult,both,home,$9.00,$13.50,10,42,12,Mon-Sat,4,write down the words that someone says using shorthand.
56,3,Typewriters,skilled,unweathered,false,uneducated,adult,male,home,$9.00,$13.50,10,40,12,Mon-Sat,3,able to use a typewriter that prints out what is typed. 
57,3,Messengers,semiskilled,weathered,false,uneducated,adult,male,home,$9.00,$13.50,10,52,12,Mon-Sat,8,carries a message or goes on an errand for someone else especially as a matter of duty or business.
58,3,Office Boys,semiskilled,unweathered,false,uneducated,adult,male,home,$9.00,$13.50,10,54,12,Mon-Sat,7,employed in an office to run errands and do small tasks and jobs.
59,3,Auctioneers,skilled,unweathered,false,uneducated,adult,male,home,$9.00,$13.50,10,39,12,Mon-Sat,5,conducts auctions by accepting bids and declaring when somethiing is sold. Common auctions are bidding for horses and donkeys for farm work as well as other aniimals.
60,3,Salesmen,semiskilled,mixed,false,uneducated,adult,male,home,$9.00,$13.50,10,63,12,Mon-Sat,3,selliing or promoting commericial products either in a store or visiting locations to get orders on what to promote.
61,3,Stockbrokers,skilled,unweathered,true,uneducated,adult,both,home,$9.00,$13.50,10,43,12,Mon-Sat,2,someone who buys and sells securities on a stock exchange for benefit off a client
62,3,Store Clerks,semiskilled,unweathered,false,uneducated,adult,male,home,$9.00,$13.50,10,42,12,Mon-Sat,4,someone who checks out items from a store and makes sure they are paid for.
63,3,Proprietors,professional,unweathered,false,uneducated,adult,male,home,$9.00,$13.50,10,16,12,Everyday,1,Owner of a business or in charge of a holder of property
64,3,Retail Dealer,professional,unweathered,false,uneducated,adult,male,home,$9.00,$13.50,10,16,12,Everyday,4,Someone who sells goods individually or in small quantities
65,3,Switchmen,skilled,unweathered,false,uneducated,adult,male,home,$9.00,$13.50,10,38,12,Everyday,3,railroad worker who is responsibile for operating signals and switches when a train is approaching. Swichmen have switches or cranks they have to pull to change the direction of the track the way the train would like to go. 
66,3,Flagmen,semiskilled,weathered,false,uneducated,adult,male,home,$9.00,$13.50,10,75,12,Mon-Sat,6,"someone at night with a lantern, waves it to people crossing the railroad to let them know if it is okay to cross the railroad or not. In the daytime the flagmen uses a flag instead of a lantern."
67,3,Yardmen,semiskilled,weathered,false,uneducated,adult,male,home,$9.00,$13.50,10,79,12,Mon-Sat,9,someone who works on a railroad track. Yardmen put the actual tracks together to make a railroad.
68,3,Baggagemen,laborer,weathered,false,uneducated,adult,male,home,$9.00,$13.50,10,76,12,Everyday,14,people or attendents who took care of baggage. They made sure that all and everyone's baggage was taken care of.
69,3,Freight Agents,skilled,unweathered,false,uneducated,adult,male,home,$9.50,$16.70,10,78,12,Everyday,4,people whoo coordinate inccoming and outgoing shipments to be transported to companies and other businesses
70,3,Draymen,skilled,unweathered,false,uneducated,adult,male,home,$9.50,$16.70,10,79,12,Mon-Sat,2,someone who drove wagons pulled by horses that was used to transport all kinds of goods. Most of the transportation trips were short.
71,3,Teamsters,semiskilled,weathered,false,uneducated,adult,male,home,$9.50,$16.70,10,80,12,Mon-Sat,2,"a driver of a team of animals, mostly horses. They carried passengers and not goods. "
72,6,Authors,professional,unweathered,false,uneducated,adult,both,home,$9.50,$16.70,10,14,12,Mon-Sat,0,"people who write books or letters, notes, essays, narratives, etc."
73,6,Editors,professional,unweathered,false,uneducated,adult,both,home,$9.50,$16.70,10,15,12,Mon-Sat,4,people who are in charge of and determines the final content of text. Editors edit text to make little changes to perfect or make teh text sound or look better. 
74,6,Reporters,professional,unweathered,false,uneducated,adult,male,home,$9.50,$16.70,10,14,12,Mon-Sat,3,someone who reports news or conducts interviews for any type of newspaper and/or radio station
75,6,Aeronauts,professional,unweathered,true,uneducated,adult,male,home,$9.50,$16.70,10,15,12,Mon-Sat,5,travels or drives  a hot-air balloon or any other kind of flying craft at the tiime. 
76,6,Librarians,professional,unweathered,false,college,adult,both,home,$6.00,$16.70,10,16,12,Mon-Sat,2,someone who works professionally in a library and can hold a degree iin librarianship.
77,6,Oestopaths,professional,unweathered,true,highschool,adult,male,home,$9.50,$16.70,10,14,12,Mon-Sat,1,therapists who manipulates the skeleton and the muscles.
78,6,Physicians,professional,unweathered,true,highschool,adult,male,home,$9.50,$16.70,10,15,12,Mon-Sat,4,"one who practices medicine through maintaining or restoring human health through the studiies and diagnosis to treate the disease, illness, injury or other physical or mental disability."
79,6,Radio Actor,professional,unweathered,false,uneducated,adult,male,home,$9.50,$17.00,10,16,12,Mon-Sat,1,people who acted our dramas via radio.
80,4,Steel Laborers,laborer,unweathered,false,uneducated,adult,male,home,$7.50,$9.25,10,85,12,Mon-Sat,25,workers skilled in all the different jobs required in steel industry.
81,4,Coal Laborers,laborer,unweathered,false,uneducated,adult,male,home,$7.50,$9.25,10,92,12,Mon-Sat,25,"workers skilled in all the different jobs required to get to the coal underground, loosen it from the earth, break it into pieces that mules or humans (and later power machines) could handle, transport it out of the mine, sort and clean it, and finally ship off it to customers. Miners worked inside the mine; company men worked outside the mine."
82,1,Agricultural Laborers,laborer,weathered,false,uneducated,adult,male,home,$7.50,$9.25,10,69,12,Mon-Sat,10,workers skilled in all the different jobs required in agriculture.
83,2,Domestic Laborers,laborer,unweathered,false,uneducated,adult,both,home,$7.50,$9.25,10,68,12,Mon-Sat,25,workers skilled in all the different jobs required in domestic and personal service industry.
84,4,Railway Laborers,laborer,weathered,false,uneducated,adult,male,home,$7.50,$9.25,10,89,12,Mon-Sat,25,workers skilled in all the different jobs required to work on the railroad.
85,3,Day Laborers,laborer,weathered,false,uneducated,adult,both,home,$7.50,$9.25,10,87,12,Mon-Sat,25,"These workers did whatever physical jobs they could find, usually hired for just days or weeks at a time."
86,6,Apprentice,laborer,mixed,true,highschool,family,male,home,$5.00,$13.00,8,15,10,Mon-Sat,29,workers who learned the trade while working at a discount
87,2,Apprentice,laborer,mixed,true,highschool,family,male,home,$5.00,$13.00,8,38,10,Mon-Sat,29,workers who learned the trade while working at a discount
88,3,Apprentice,laborer,mixed,true,highschool,family,male,home,$5.00,$13.00,8,77,10,Mon-Sat,29,workers who learned the trade while working at a discount
89,4,Apprentice,laborer,mixed,true,highschool,family,male,home,$5.00,$13.00,8,79,10,Mon-Sat,28,workers who learned the trade while working at a discount
90,5,Apprentice,laborer,mixed,true,highschool,family,male,home,$5.00,$13.00,8,77,10,Mon-Sat,29,workers who learned the trade while working at a discount
